                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.68323,                0.37555,                0.92217,                0.95154,                0.88907,                0.94456,                0.74022,                0.88283,                0.46763,                 1.0115,             0.00022159,             0.00022159,             0.00022159
                     73,                0.68195,                0.37303,                0.91719,                0.93375,                0.88433,                0.94071,                0.73283,                0.89854,                0.48129,                 1.0153,             0.00021884,             0.00021884,             0.00021884
                     74,                  0.678,                0.37339,                0.91815,                0.94247,                 0.8809,                0.94257,                0.73756,                0.88633,                0.48306,                 1.0137,             0.00021609,             0.00021609,             0.00021609
                     75,                0.67477,                0.36841,                0.91412,                  0.927,                0.89958,                0.94186,                0.74322,                0.88651,                0.48455,                 1.0126,             0.00021334,             0.00021334,             0.00021334
                     76,                0.67372,                0.36946,                0.91555,                0.94633,                0.86841,                0.94194,                0.74047,                0.88688,                 0.4937,                  1.019,             0.00021059,             0.00021059,             0.00021059
                     77,                0.66866,                0.36584,                0.91538,                0.95486,                0.88648,                0.94378,                0.74267,                0.87272,                0.48445,                 1.0124,             0.00020783,             0.00020783,             0.00020783
                     78,                0.67107,                0.36619,                 0.9101,                0.95597,                0.88133,                0.94502,                0.74596,                0.88021,                0.46895,                 1.0184,             0.00020508,             0.00020508,             0.00020508
                     79,                0.65639,                0.35799,                0.91338,                0.95456,                0.87452,                0.94363,                0.74023,                0.87913,                0.47614,                 1.0193,             0.00020233,             0.00020233,             0.00020233
                     80,                0.65736,                 0.3618,                0.90877,                0.96431,                0.88268,                0.94802,                0.74677,                0.87649,                0.46613,                 1.0138,             0.00019958,             0.00019958,             0.00019958
                     81,                0.65633,                  0.359,                0.90993,                0.95095,                 0.8917,                0.94493,                0.74291,                0.88445,                0.46935,                  1.016,             0.00019682,             0.00019682,             0.00019682
                     82,                0.64977,                0.35639,                0.91036,                0.93327,                 0.8955,                0.94371,                0.74121,                0.88673,                0.47358,                 1.0234,             0.00019407,             0.00019407,             0.00019407
                     83,                0.65338,                0.35777,                0.90759,                0.93592,                0.89127,                0.94341,                0.74279,                0.88323,                0.46771,                 1.0194,             0.00019132,             0.00019132,             0.00019132
                     84,                0.64724,                0.35757,                0.90496,                0.94003,                0.88887,                0.94563,                0.74625,                0.88445,                0.46362,                 1.0252,             0.00018857,             0.00018857,             0.00018857
